% Model,SOR optimaze — копия.mph
% Version,COMSOL 6.0.0.318
% Date,"May 27 2023, 13:52"
% Table,Table  - Integral
% light,k5,k9,target
5.100000000000000E-5,3.000000000000000E3,3.100000000000001E-4,1.527106494496995E-7
5.100000000000000E-5,3.000000000000000E3,4.100000000000001E-4,1.527106494401793E-7
5.100000000000000E-5,3.000000000000000E3,5.100000000000000E-4,1.527106494306575E-7
5.100000000000000E-5,3.000000000000000E3,6.100000000000001E-4,1.527106494211375E-7
5.100000000000000E-5,3.000000000000000E3,7.100000000000000E-4,1.527106494116158E-7
5.100000000000000E-5,3.000000000000000E3,8.100000000000001E-4,1.527106494020952E-7
5.100000000000000E-5,3.000000000000000E3,9.100000000000001E-4,1.527106493925739E-7
5.100000000000000E-5,4.000000000000000E3,1.000000000000000E-5,1.520279690122242E-7
5.100000000000000E-5,4.000000000000000E3,1.100000000000000E-4,1.520279690000975E-7
5.100000000000000E-5,4.000000000000000E3,2.100000000000000E-4,1.520279689879710E-7
5.100000000000000E-5,4.000000000000000E3,3.100000000000001E-4,1.520279689758436E-7
5.100000000000000E-5,4.000000000000000E3,4.100000000000001E-4,1.520279689637175E-7
5.100000000000000E-5,4.000000000000000E3,5.100000000000000E-4,1.520279689515907E-7
5.100000000000000E-5,4.000000000000000E3,6.100000000000001E-4,1.520279689394639E-7
5.100000000000000E-5,4.000000000000000E3,7.100000000000000E-4,1.520279689273369E-7
5.100000000000000E-5,4.000000000000000E3,8.100000000000001E-4,1.520279689152096E-7
5.100000000000000E-5,4.000000000000000E3,9.100000000000001E-4,1.520279689030831E-7
5.100000000000000E-5,5.000000000000000E3,1.000000000000000E-5,1.513759579770683E-7
5.100000000000000E-5,5.000000000000000E3,1.100000000000000E-4,1.513759579625386E-7
5.100000000000000E-5,5.000000000000000E3,2.100000000000000E-4,1.513759579480082E-7
5.100000000000000E-5,5.000000000000000E3,3.100000000000001E-4,1.513759579334774E-7
5.100000000000000E-5,5.000000000000000E3,4.100000000000001E-4,1.513759579189468E-7
5.100000000000000E-5,5.000000000000000E3,5.100000000000000E-4,1.513759579044174E-7
5.100000000000000E-5,5.000000000000000E3,6.100000000000001E-4,1.513759578898864E-7
5.100000000000000E-5,5.000000000000000E3,7.100000000000000E-4,1.513759578753561E-7
5.100000000000000E-5,5.000000000000000E3,8.100000000000001E-4,1.513759578608262E-7
5.100000000000000E-5,5.000000000000000E3,9.100000000000001E-4,1.513759578462960E-7
6.100000000000001E-5,2.000000000000000E3,1.000000000000000E-5,1.510462001186160E-7
6.100000000000001E-5,2.000000000000000E3,1.100000000000000E-4,1.510462001114657E-7
6.100000000000001E-5,2.000000000000000E3,2.100000000000000E-4,1.510462001043148E-7
6.100000000000001E-5,2.000000000000000E3,3.100000000000001E-4,1.510462000971648E-7
6.100000000000001E-5,2.000000000000000E3,4.100000000000001E-4,1.510462000900150E-7
6.100000000000001E-5,2.000000000000000E3,5.100000000000000E-4,1.510462000828640E-7
6.100000000000001E-5,2.000000000000000E3,6.100000000000001E-4,1.510462000757141E-7
6.100000000000001E-5,2.000000000000000E3,7.100000000000000E-4,1.510462000685639E-7
6.100000000000001E-5,2.000000000000000E3,8.100000000000001E-4,1.510462000614129E-7
6.100000000000001E-5,2.000000000000000E3,9.100000000000001E-4,1.510462000542628E-7
6.100000000000001E-5,3.000000000000000E3,1.000000000000000E-5,1.503064504236034E-7
6.100000000000001E-5,3.000000000000000E3,1.100000000000000E-4,1.503064504134755E-7
6.100000000000001E-5,3.000000000000000E3,2.100000000000000E-4,1.503064504033473E-7
6.100000000000001E-5,3.000000000000000E3,3.100000000000001E-4,1.503064503932192E-7
6.100000000000001E-5,3.000000000000000E3,4.100000000000001E-4,1.503064503830917E-7
6.100000000000001E-5,3.000000000000000E3,5.100000000000000E-4,1.503064503729635E-7
6.100000000000001E-5,3.000000000000000E3,6.100000000000001E-4,1.503064503628355E-7
6.100000000000001E-5,3.000000000000000E3,7.100000000000000E-4,1.503064503527081E-7
