,light,target,name,time
165,0.0006760000000000001,6.313636024610796e-08,continue,2023-05-19 19:52:00
166,0.0006850000000000001,6.274912577976452e-08,continue,2023-05-19 19:52:00
167,0.000694,6.236935149503523e-08,continue,2023-05-19 19:52:00
168,0.0007030000000000001,6.199680124001993e-08,continue,2023-05-19 19:52:00
169,0.0007120000000000002,6.163124918148791e-08,continue,2023-05-19 19:52:00
170,0.0007210000000000001,6.127247923415409e-08,continue,2023-05-19 19:52:00
171,0.00073,6.092028452789256e-08,continue,2023-05-19 19:52:00
172,0.000739,6.05744669099506e-08,continue,2023-05-19 19:52:00
173,0.0007480000000000001,6.02348364794993e-08,continue,2023-05-19 19:52:00
174,0.0007570000000000002,5.990121115207547e-08,continue,2023-05-19 19:52:00
175,0.0007660000000000001,5.9573416251691897e-08,continue,2023-05-19 19:52:00
176,0.0007750000000000001,5.9251284128563e-08,continue,2023-05-19 19:52:00
177,0.000784,5.893465380058465e-08,continue,2023-05-19 19:52:00
178,0.0007930000000000001,5.862337061684695e-08,continue,2023-05-19 19:52:00
179,0.0008020000000000002,5.8317285941605116e-08,continue,2023-05-19 19:52:00
180,0.0008110000000000001,5.8016256857261244e-08,continue,2023-05-19 19:52:00
181,0.0008200000000000001,5.7720145885027053e-08,continue,2023-05-19 19:52:00
182,0.000829,5.742882072203982e-08,continue,2023-05-19 19:52:00
183,0.0008380000000000001,5.714215399380242e-08,continue,2023-05-19 19:52:00
184,0.000847,5.686002302091222e-08,continue,2023-05-19 19:52:00
185,0.0008560000000000001,5.658230959910863e-08,continue,2023-05-19 19:52:00
186,0.000865,5.6308899791761826e-08,continue,2023-05-19 19:52:00
187,0.000874,5.603968373397323e-08,continue,2023-05-19 19:52:00
188,0.0008830000000000001,5.5774555447542406e-08,continue,2023-05-19 19:52:00
189,0.0008920000000000002,5.551341266607971e-08,continue,2023-05-19 19:52:00
190,0.0009010000000000002,5.5256156669634905e-08,continue,2023-05-19 19:52:00
191,0.00091,5.500269212822073e-08,continue,2023-05-19 19:52:00
192,0.000919,5.4752926953684616e-08,continue,2023-05-19 19:52:00
193,0.000928,5.450677215940228e-08,continue,2023-05-19 19:52:00
194,0.0009370000000000002,5.426414172731214e-08,continue,2023-05-19 19:52:00
195,0.000946,5.402495248184394e-08,continue,2023-05-19 19:52:00
196,0.000955,5.3789123970320124e-08,continue,2023-05-19 19:52:00
197,0.000964,5.355657834944627e-08,continue,2023-05-19 19:52:00
198,0.000973,5.3327240277524266e-08,continue,2023-05-19 19:52:00
199,0.000982,5.310103680494569e-08,continue,2023-05-19 19:52:00
200,0.000991,5.2877897329384044e-08,continue,2023-05-19 19:52:00
201,0.001,5.2657753768150805e-08,continue,2023-05-19 19:52:00
